cluster_number,tip_name,variant,cluster_type
1,23-031606-079_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-068_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-066_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-065_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-063_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-071_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-078_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-064_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-082_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-077_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-081_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-072_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-083_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-085_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-070_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-084_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-080_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-075_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-074_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
1,23-031606-069_PA_Philadelphia_2022-12-22_BA.5.1,omicron,cluster
2,23-031606-062_AR_Carroll_2022-11-30_BK.1,omicron,singleton
3,23-031606-006_NJ_Hunterdon_2022-10-25_BA.5.1.2,omicron,cluster
3,23-031606-004_NJ_Somerset_2022-10-25_BA.5.1.2,omicron,cluster
3,23-031606-005_NJ_Somerset_2022-10-25_BA.5.1.2,omicron,cluster
3,23-031606-145_NJ_Hunterdon_2022-12-06_BA.5.1.2,omicron,cluster
3,23-031606-143_NJ_Somerset_2022-12-06_BA.5.1.2,omicron,cluster
4,23-031606-149_NJ_Warren_2022-12-02_BA.5.1.2,omicron,cluster
