county	lat	long
Adams	39.874215	-77.232246
Allegheny	40.472804	-79.990653
Bedford	40.008226	-78.478466
Crawford	41.6819	-80.111118
Cumberland	40.186325	-77.251379
Dauphin	40.420735	-76.79341
Juniata	40.542849	-77.447462
Lancaster	40.066444	-76.253599
Mercer	41.310324	-80.259973
Monroe	41.074376	-75.319118
Northumberland	40.873553	-76.727958
Potter	41.744295	-77.928534
Snyder	40.788547	-77.094849
Union	40.989353	-77.045348
Warren	41.823311	-79.254756
York	39.947332	-76.73205
Perry	40.411353	-77.253552
Indiana	40.671743	-79.064757
Blair	40.484783	-78.347151
Cambria	40.499419	-78.731392
Jefferson	41.131325	-79.003406
Delaware	39.922357	-75.407886
Westmoreland	40.312198	-79.444544
Venango	41.393832	-79.768458
Erie	42.030336	-79.998001
Luzerne	41.148971	-75.996971
Wayne	41.679841	-75.290205
Armstrong	40.844263	-79.478694
Greene	39.865244	-80.218903
Elk	41.431077	-78.659932
Clearfield	40.991539	-78.443732
Huntingdon	40.452187	-78.010949
Montgomery	40.214727	-75.351422
