header	date
hCoV-19/deer/USA/PA-22-006202-086/2021|EPI_ISL_16366939.1|2021-12-01	2021-12-01
hCoV-19/deer/USA/PA-VSP30364/2022|EPI_ISL_19259480.1|2022-12-02	2022-12-02
hCoV-19/deer/USA/PA-22-000890-002/2021|EPI_ISL_16297228|2021-12-10	2021-12-10
hCoV-19/deer/USA/PA-22-003833-006/2021|EPI_ISL_16297258|2021-12-04	2021-12-04
hCoV-19/deer/USA/PA-22-000890-019/2021|EPI_ISL_16297231|2021-11-29	2021-11-29
hCoV-19/deer/USA/PA-22-003833-009/2021|EPI_ISL_16297259|2021-12-07	2021-12-07
hCoV-19/deer/USA/PA-22-003833-019/2021|EPI_ISL_16297260|2021-12-03	2021-12-03
hCoV-19/deer/USA/PA-22-001705-010/2021|EPI_ISL_16297301|2021-12-06	2021-12-06
hCoV-19/deer/USA/PA-22-001705-032/2021|EPI_ISL_16297316|2021-11-29	2021-11-29
hCoV-19/deer/USA/PA-22-003833-002/2021|EPI_ISL_16300816|2021-12-07	2021-12-07
hCoV-19/deer/USA/PA-22-000890-032/2021|EPI_ISL_16308420|2021-12-07	2021-12-07
hCoV-19/deer/USA/PA-22-000890-010/2021|EPI_ISL_16308419|2021-12-01	2021-12-01
hCoV-19/deer/USA/PA-22-002350-013/2021|EPI_ISL_16316158|2021-12-06	2021-12-06
hCoV-19/deer/USA/PA-22-001705-013/2021|EPI_ISL_16318393|2021-11-30	2021-11-30
hCoV-19/deer/USA/PA-22-006202-024/2021|EPI_ISL_16366921|2021-11-29	2021-11-29
hCoV-19/deer/USA/PA-22-006202-025/2021|EPI_ISL_16366922|2021-12-10	2021-12-10
hCoV-19/deer/USA/PA-22-006202-056/2021|EPI_ISL_16366931|2021-12-09	2021-12-09
hCoV-19/deer/USA/PA-21-038768-001/2021|EPI_ISL_9347718|2021-11-28	2021-11-28
hCoV-19/deer/USA/PA-VSP3514/2021|EPI_ISL_9650712|2021-10-14	2021-10-14
hCoV-19/deer/USA/PA-VSP3517/2021|EPI_ISL_9651352|2021-11-01	2021-11-01
