Name,County,Host
hCoV-19/deer/USA/PA-22-000890-002/2021|EPI_ISL_16297228|2021-12-10,Mercer,WTD
hCoV-19/deer/USA/PA-22-003833-006/2021|EPI_ISL_16297258|2021-12-04,Indiana,WTD
hCoV-19/deer/USA/PA-22-000890-019/2021|EPI_ISL_16297231|2021-11-29,Crawford,WTD
hCoV-19/deer/USA/PA-22-003833-009/2021|EPI_ISL_16297259|2021-12-07,Blair,WTD
hCoV-19/deer/USA/PA-22-003833-019/2021|EPI_ISL_16297260|2021-12-03,Cambria,WTD
hCoV-19/deer/USA/PA-22-001705-010/2021|EPI_ISL_16297301|2021-12-06,Cumberland,WTD
hCoV-19/deer/USA/PA-22-001705-032/2021|EPI_ISL_16297316|2021-11-29,Crawford,WTD
hCoV-19/deer/USA/PA-22-003833-002/2021|EPI_ISL_16300816|2021-12-07,Lancaster,WTD
hCoV-19/deer/USA/PA-22-000890-032/2021|EPI_ISL_16308420|2021-12-07,Lancaster,WTD
hCoV-19/deer/USA/PA-22-000890-010/2021|EPI_ISL_16308419|2021-12-01,Jefferson,WTD
hCoV-19/deer/USA/PA-22-002350-013/2021|EPI_ISL_16316158|2021-12-06,Lancaster,WTD
hCoV-19/deer/USA/PA-22-001705-013/2021|EPI_ISL_16318393|2021-11-30,Jefferson,WTD
hCoV-19/deer/USA/PA-22-006202-024/2021|EPI_ISL_16366921|2021-11-29,Delaware,WTD
hCoV-19/deer/USA/PA-22-006202-025/2021|EPI_ISL_16366922|2021-12-10,Westmoreland,WTD
hCoV-19/deer/USA/PA-22-006202-056/2021|EPI_ISL_16366931|2021-12-09,Delaware,WTD
hCoV-19/deer/USA/PA-21-038768-001/2021|EPI_ISL_9347718|2021-11-28,Dauphin,WTD
hCoV-19/deer/USA/PA-VSP3514/2021|EPI_ISL_9650712|2021-10-14,Venango,WTD
hCoV-19/deer/USA/PA-VSP3517/2021|EPI_ISL_9651352|2021-11-01,Erie,WTD
hCoV-19/deer/USA/PA-VSP3515/2021|EPI_ISL_9650797|2021-10-28,Luzerne,WTD
hCoV-19/deer/USA/PA-VSP3573/2021|EPI_ISL_9654019|2021-11-27,Wayne,WTD
hCoV-19/deer/USA/PA-VSP3575/2021|EPI_ISL_9654523|2021-11-28,Monroe,WTD
22-006202-055_PA_Armstrong_2021-12-02,Armstrong,WTD
22-006202-096_PA_Greene_2021-12-10,Greene,WTD
hCoV-19/deer/USA/PA-VSP30367/2022|EPI_ISL_19259473|2022-12-02,Elk,WTD
hCoV-19/deer/USA/PA-VSP30356/2022|EPI_ISL_19259477|2022-12-02,Clearfield,WTD
hCoV-19/deer/USA/PA-VSP30051/2022|EPI_ISL_19259485|2022-12-09,Indiana,WTD
23-031606-109_PA_Cambria_2022-11-28_AY.103,Cambria,WTD
23-031606-111_PA_Cambria_2022-11-28_AY.103,Cambria,WTD
23-031606-112_PA_Cambria_2022-11-28_AY.103,Cambria,WTD
22-006202-038_PA_Lancaster_2021-12-07,Lancaster,WTD
23-031606-107_PA_Clearfield_2022-11-27_AY.103,Clearfield,WTD
23-031606-117_PA_Blair_2022-11-28_AY.103,Blair,WTD
23-031606-136_PA_Cambria_2022-11-28_AY.103,Cambria,WTD
23-031606-115_PA_Blair_2022-11-28_AY.39,Blair,WTD
23-031606-108_PA_Clearfield_2022-11-28_AY.103,Clearfield,WTD
23-031606-116_PA_Huntingdon_2022-11-28_AY.103,Huntingdon,WTD
22-013500-023_PA_Montgomery_2022-03-02,Montgomery,WTD
hCoV-19/deer/USA/PA-22-006202-086/2021|EPI_ISL_16366939.1|2021-12-01,Greene,WTD
hCoV-19/deer/USA/PA-VSP30364/2022|EPI_ISL_19259480.1|2022-12-02,Clearfield,WTD
