seqName,cluster
23-031606-012_PA_Cumberland_2022-10-24,3
23-031606-007_PA_Cumberland_2022-10-24,3
23-031606-019_PA_Perry_2022-10-24,3
23-031606-018_PA_Dauphin_2022-10-24,3
hCoV-19/white-tailed_deer/USA/PA-23-015645-001/2022|EPI_ISL_17851798|2022-10-24,3
23-031606-057_PA_Perry_2022-10-24,3
hCoV-19/deer/USA/PA-VSP30434/2022|EPI_ISL_19259487|2022-11-14,3
23-031606-020_PA_Dauphin_2022-10-24,3
23-031606-011_PA_Cumberland_2022-10-24,3
23-031606-022_PA_Perry_2022-10-24,3
23-031606-009_PA_Potter_2022-10-24,3
23-031606-023_PA_York_2022-10-24,3
23-031606-013_PA_Cumberland_2022-10-24,3
23-031606-010_PA_York_2022-10-24,3
23-031606-015_PA_Dauphin_2022-10-24,3
23-031606-014_PA_Perry_2022-10-24,3
23-031606-028_PA_Cumberland_2022-11-27,3
23-031606-008_PA_Dauphin_2022-10-24,3
23-031606-054_PA_Perry_2022-11-27,3
23-031606-021_PA_Dauphin_2022-10-24,3
23-031606-046_PA_Perry_2022-11-27,3
23-031606-045_PA_Perry_2022-11-27,3
23-031606-047_PA_York_2022-11-27,3
23-031606-049_PA_Dauphin_2022-11-27,3
23-031606-048_PA_Cumberland_2022-11-27,3
23-031606-051_PA_Union_2022-11-27,3
23-031606-050_PA_Perry_2022-11-27,3
23-031606-044_PA_Perry_2022-11-27,3
23-031606-025_PA_Dauphin_2022-11-27,3
23-031606-024_PA_Cumberland_2022-11-27,3
23-031606-040_PA_Perry_2022-11-27,3
23-031606-039_PA_Perry_2022-11-27,3
hCoV-19/deer/USA/PA-VSP30432/2022|EPI_ISL_19259501|2022-11-12,3
hCoV-19/deer/USA/PA-VSP30427/2022|EPI_ISL_19259495|2022-11-10,3
hCoV-19/deer/USA/PA-VSP30422/2022|EPI_ISL_19259486|2022-11-09,3
hCoV-19/deer/USA/PA-VSP30136/2022|EPI_ISL_19259475|2022-12-28,3
hCoV-19/deer/USA/PA-VSP30419/2022|EPI_ISL_19259500|2022-11-16,3
hCoV-19/deer/USA/PA-VSP30417/2022|EPI_ISL_19259499|2022-11-07,3
hCoV-19/deer/USA/PA-VSP30426/2022|EPI_ISL_19259471|2022-11-10,3
hCoV-19/deer/USA/PA-VSP30232/2023|EPI_ISL_19259498|2023-01-03,3
22-006202-044_PA_Adams_2021-11-29,3
23-031606-137_PA_Lancaster_2023-03-15,1
23-031606-129_PA_Mercer_2022-11-28,1
23-031606-128_PA_Mercer_2022-11-28,1
23-031606-131_PA_Crawford_2022-11-28,1
23-031606-104_PA_Warren_2022-11-28,1
hCoV-19/USA/DC-DFS-PHL-03511/2021|EPI_ISL_8141654|2021-11-19,Human
OK246561.1/human/USA/VSP2859/2021,Human
MZ579288.1/human/USA/VSP2859/2021,Human
OL369326.1/human/USA/PA-CDC-ASC210034706/2021,Human
MZ201971.1/human/USA/PA-CDC-STM-000062416/2021,Human
MZ307913.1/human/USA/PA-CDC-LC0061434/2021,Human
MW817281.1/human/USA/MD-MDH-1457/2021,Human
MZ069171.1/human/USA/NV-CDC-LC0044549/2021,Human
MZ059117.1/human/USA/PA-CDC-STM-000052948/2021,Human
MZ038051.1/human/USA/NJ-CDC-LC0042344/2021,Human
MZ342069.1/human/USA/PA-CDC-LC0064227/2021,Human
MZ070166.1/human/USA/PA-CDC-LC0045655/2021,Human
MZ061162.1/human/USA/PA-CDC-STM-000053908/2021,Human
MW869683.1/human/USA/PA-CDC-LC0026830/2021,Human
hCoV-19/deer/USA/NY-WTD_164489/2021|EPI_ISL_13658793|2021-11-06,8
hCoV-19/deer/USA/NY-WTD_164472/2021|EPI_ISL_13658788|2021-11-03,8
hCoV-19/deer/USA/NY-WTD_164557/2021|EPI_ISL_13658796|2021-11-06,8
hCoV-19/deer/USA/NY-WTD_164331/2021|EPI_ISL_13658778|2021-10-23,8
hCoV-19/deer/USA/NY-WTD_164468/2021|EPI_ISL_13658792|2021-11-06,8
hCoV-19/deer/USA/NY-WTD_164487/2021|EPI_ISL_13610630|2021-11-03,8
hCoV-19/deer/USA/NY-22-001705-026/2021|EPI_ISL_16297311|2021-11-23,8
hCoV-19/deer/USA/NY-WTD_164412/2021|EPI_ISL_13610622|2021-11-01,8
hCoV-19/deer/USA/PA-VSP3574/2021|EPI_ISL_9654444|2021-11-27,8
hCoV-19/deer/USA/PA-22-000890-014/2021|EPI_ISL_16297229|2021-12-06,8
hCoV-19/deer/USA/PA-22-000890-030/2021|EPI_ISL_16297232|2021-12-06,8
hCoV-19/deer/USA/PA-22-000890-017/2021|EPI_ISL_16297230|2021-12-02,8
MZ217458.1/human/USA/AZ-CDC-QDX24393935/2021,Human
hCoV-19/USA/NY-Wadsworth-21055634-01/2021|EPI_ISL_2279581|2021-05-09,Human
MZ131843.1/human/USA/PA-CDC-QDX24087798/2021,Human
hCoV-19/USA/NY-Wadsworth-21053013-01/2021|EPI_ISL_2274640|2021-05-02,Human
MZ319250.1/human/USA/PA-CDC-QDX24758579/2021,Human
hCoV-19/Canada/ON-KHS-21-00973-v1/2021|EPI_ISL_13836212|2021-04-04,Human
MZ140630.1/human/USA/PA-CDC-LC0049910/2021,Human
MW989176.1/human/USA/NJ-CDC-QDX23654843/2021,Human
MZ060216.1/human/USA/FL-CDC-STM-000052367/2021,Human
hCoV-19/USA/NY-Wadsworth-21050654-01/2021|EPI_ISL_2098566|2021-04-28,Human
hCoV-19/USA/NY-Wadsworth-21042376-01/2021|EPI_ISL_1671626|2021-04-01,Human
hCoV-19/Canada/ON-KHS-21-01205-v1/2021|EPI_ISL_13836407|2021-04-04,Human
MZ940521.1/human/USA/NC-CDC-LC0164146/2021,Human
MZ498644.1/human/USA/WV120827/2021,Human
MZ372315.1/human/USA/WV-CDC-LC0067899/2021,Human
